subtype	patients
U2AF1-Q157_variants	7
U2AF1-S34_variants	10
U2AF2_variants	3
ZRSR2_variants	6
SETX_variants	3
SF3A2_variants	5
SF3B1_variants	8
SNRNP40_variants	3
SRSF2-8AA_variants	6
SRSF2-P95_variants	29
THOC5_variants	3
THRAP3_variants	4
HNRNPK-KD_variants	13
PRPF40B-W441*_variants	3
PRPF40B-misc_variants	3
TET2_variants	168
WT1_variants	20
TP53_variants	56
CEBPA-allelic_variants	6
CEBPA-biallelic_variants	81
DNMT3A_variants	89
IDH1-R132_variants	33
IDH2-R140Q_variants	50
KIT_variants	98
KRAS_variants	33
NRAS_variants	70
PTPN11_variants	28
NPM1_variant	323
FLT3-ITD_variant	324
FLT3-TDK_variant	318
MLL-PTD_variant	316
CBFB-MYH11_fusions	98
MLL_fusions	103
RUNX1_fusions	91
PML-RARA_fusions	85
EVI1_fusions	318
U2AF1-Stringent(R1-C2)	110
SRSF2-Stringent(R1-C1)	82
SRSF2-Expanded(R1-C1-extended)	154
U2AF1-Expanded(R1-C2-extended)	176
U2AF1-S34(R2-C26)	14
SF3B1(R2-C11)	11
SRSF2(R2-C7)	39
ZRSR2(R3-C1)	10
CBFB(R2-C4)	40
MLL(R2-C19)	33
PML(R2-C12)	19
RUNX1(R2-C8)	24
MLL_extended(R2-C19 extended)	54
TP53(R2-C3)	29
NPM1-FLT3-IDH2-TET2(R2-C15)-NS1	38
KAT6B_correlated(R2-C18)-NS2	19
NS3(R2-C10)	54
NS4(R2-C2)	18
NS5(R2-C1)	30
NS6(R2-C5)	21
NS7(R2-C17)	12
NS8(R2-C28)	31
NS9(R2-C6)	33
NS10(R2-C27)	13
NPM1_insertions_KM	136
FLT3_ITD_KM	118
KM-DNMT3A	87
KM_FLT3_TKD	40
Mutation.ASXL1	299
Mutation.ASXL2	289
Mutation.BCOR	288
Mutation.BIRC3	287
Mutation.BRAF	287
Mutation.CALR	285
Mutation.CBL	287
Mutation.CBLB	289
Mutation.CBLC	285
Mutation.CSF3R	288
Mutation.ETV6	287
Mutation.EZH2	287
Mutation.FBXW7	286
Mutation.FLT3-Other	289
Mutation.GATA2	292
Mutation.HRAS	286
Mutation.IKZF1	288
Mutation.JAK1	285
Mutation.JAK2	290
Mutation.JAK3	285
Mutation.KRAS	300
Mutation.MLL-PTD	292
Mutation.MPL	286
Mutation.MYD88	286
Mutation.NOTCH1	285
Mutation.PHF6	285
Mutation.PTEN	285
Mutation.RAD21	288
Mutation.RUNX1	293
Mutation.SETBP1	285
Mutation.SETD2	291
Mutation.SMC1A	292
Mutation.SMC3	287
Mutation.SMC5	286
Mutation.STAG1	285
Mutation.STAG2	292
Mutation.STAT3	285
Mutation.STAT5A	285
Mutation.STAT5B	286
SF-MUTANT	98
FUSION	114
